srd_id,srd_full_id,srd_title,target,req_id,req_section,req_text,text_length,has_code_block,weight,state,release_id,acceptance_criteria_count,package_contract_signature
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R1.1,R1,"Must define DiffTest as the following named struct in package testutils:

  type DiffTest struct {
      Name          string                 // subtest name used with t.Run; required
      Args          []string               // command-line arguments passed to both binaries
      Stdin         []byte                 // nil = no stdin (both binaries receive EOF immediately)
      Env           []string               // nil = use defaults only (LC_ALL=C); non-nil = KEY=VALUE pairs merged into inherited environment
      WorkDir       string                 // empty = per-test t.TempDir(); non-empty = use this directory for both binaries
      ExitCode      int                    // expected exit code for both binaries
      Normalize     []func([]byte) []byte  // applied in order to stdout and stderr of both binaries before comparison; nil or empty = no normalization
      ExpectedFiles map[string][]byte      // optional: path -> expected byte content after execution, for file-output utilities (sponge, cp)
  }
",1026,True,1,complete,rel00.0,9,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R1.2,R1,DiffTest.Stdin nil means both binaries receive EOF immediately on stdin. An empty non-nil slice ([]byte{}) also produces no bytes but is semantically distinct (open stdin that is immediately closed).,199,False,1,complete,rel00.0,9,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R1.3,R1,"DiffTest.Env nil means both binaries inherit the test process environment with
default overrides applied (see R2.6). When non-nil, the KEY=VALUE pairs in the
slice are merged into the inherited environment: matching keys are overridden, new
keys are added. This merge behavior matches the struct comment (""override or
extend"") and avoids requiring callers to replicate the full environment for a
single override.
",413,False,1,complete,rel00.0,8,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R1.4,R1,"Must define type NormalizeFunc = func([]byte) []byte as a named type alias in package testutils. The Normalize field in DiffTest uses this element type. When the slice is nil or empty, no normalization is applied to stdout or stderr.",233,False,1,complete,rel00.0,9,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.1,R2,"Must provide func RunDiffTests(t *testing.T, goBinary, refBinary string, tests []DiffTest) that accepts the path to the Go binary under test (goBinary) and the GNU reference binary (refBinary), then runs each DiffTest as a named subtest via t.Run(test.Name, ...). Both binaries are invoked with identical Args, Stdin, and Env for each test case.
",346,False,1,complete,rel00.0,3,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.2,R2,"Must capture stdout, stderr, and exit code from each binary independently.",74,False,1,complete,rel00.0,2,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.3,R2,Must impose a configurable timeout on each binary invocation. The default timeout must be 10 seconds. The test fails if either binary exceeds the timeout.,154,False,1,complete,rel00.0,1,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.4,R2,Must not write any output to the test process stdout or stderr during a passing test run.,89,False,1,complete,rel00.0,2,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.5,R2,"Must support passing a working directory to each binary invocation via a WorkDir
field on DiffTest. When WorkDir is empty, both binaries run in a per-test temporary
directory created by the harness via t.TempDir(). The harness must use the same
working directory for both binaries in a given test case. The DiffTest struct gains:

  WorkDir string // empty = per-test t.TempDir(); non-empty = use this directory for both binaries
",430,False,1,uncertain,rel00.0,2,
srd001,srd001-testutils,pkg/testutils: Differential Testing Harness,pkg/testutils,R2.6,R2,"Must set LC_ALL=C in the environment for both binaries unless the DiffTest.Env
explicitly overrides LC_ALL. This ensures deterministic sort order and formatting
across locales. The harness applies this default before merging DiffTest.Env.
",239,False,1,uncertain,rel00.0,2,
